inst#,actual,predicted,error,prediction
1,1:TRUE,1:TRUE,,0.87
2,1:TRUE,1:TRUE,,0.94
3,2:FALSE,1:TRUE,+,0.84
4,2:FALSE,2:FALSE,,0.62
5,1:TRUE,1:TRUE,,0.56
6,1:TRUE,1:TRUE,,0.99
7,2:FALSE,2:FALSE,,0.63
8,1:TRUE,1:TRUE,,0.9
9,2:FALSE,1:TRUE,+,0.85
10,1:TRUE,1:TRUE,,0.69
11,1:TRUE,1:TRUE,,0.94
12,2:FALSE,2:FALSE,,0.53
13,2:FALSE,2:FALSE,,0.9
14,1:TRUE,1:TRUE,,0.94
15,1:TRUE,1:TRUE,,0.62
16,2:FALSE,1:TRUE,+,0.71
17,1:TRUE,1:TRUE,,1
18,1:TRUE,1:TRUE,,0.81
19,2:FALSE,1:TRUE,+,0.7
20,1:TRUE,1:TRUE,,0.97
21,2:FALSE,1:TRUE,+,0.73
22,2:FALSE,1:TRUE,+,0.71
23,1:TRUE,1:TRUE,,0.89
24,1:TRUE,1:TRUE,,0.79
25,2:FALSE,2:FALSE,,0.68
26,2:FALSE,1:TRUE,+,0.5
27,2:FALSE,1:TRUE,+,0.74
28,2:FALSE,1:TRUE,+,0.61
29,1:TRUE,1:TRUE,,0.9
30,1:TRUE,1:TRUE,,0.85
31,1:TRUE,1:TRUE,,0.77
32,1:TRUE,1:TRUE,,0.67
33,2:FALSE,2:FALSE,,0.65
34,1:TRUE,1:TRUE,,0.81
35,1:TRUE,1:TRUE,,0.93
36,1:TRUE,1:TRUE,,0.92
37,1:TRUE,2:FALSE,+,0.66
38,2:FALSE,2:FALSE,,0.7
39,1:TRUE,1:TRUE,,0.61
40,2:FALSE,1:TRUE,+,0.56
41,1:TRUE,1:TRUE,,0.65
42,1:TRUE,1:TRUE,,0.72
43,2:FALSE,1:TRUE,+,0.58
44,1:TRUE,1:TRUE,,0.54
45,1:TRUE,1:TRUE,,0.65
46,2:FALSE,1:TRUE,+,0.62
47,1:TRUE,2:FALSE,+,0.59
48,2:FALSE,1:TRUE,+,0.54
49,2:FALSE,2:FALSE,,1
50,2:FALSE,1:TRUE,+,0.75
51,2:FALSE,2:FALSE,,0.59
