@RELATION 2004-colorcast
@ATTRIBUTE actualWordPOS {NOUN, VERB, ADJ, ADV, AUX, PRON, PROPN, PUNCT, X, SCONJ, ADP, CCONJ, INTJ, NUM, DET, SYM, SPACE, PART}
@ATTRIBUTE predictedWordPOS {NOUN, VERB, ADJ, ADV, AUX, PRON, PROPN, PUNCT, X, SCONJ, ADP, CCONJ, INTJ, NUM, DET, SYM, SPACE, PART}
@ATTRIBUTE posTagsMatch {TRUE, FALSE}
@ATTRIBUTE numTimesPredicted numeric
@ATTRIBUTE numTimesInCorpus numeric
@ATTRIBUTE predictedTokenLength numeric
@ATTRIBUTE actualTokenLength numeric
@ATTRIBUTE ratioOfTokenLengths numeric
@ATTRIBUTE levDistance numeric
@ATTRIBUTE semanticSim numeric
@ATTRIBUTE tfidfAverageRank numeric
@ATTRIBUTE tfidfHighestRank numeric
@ATTRIBUTE predictedProba numeric
@ATTRIBUTE class {TRUE, FALSE}
@DATA
NOUN,NOUN,TRUE,2,7,7,8,0.875,0.2666666666666667,0.2673633396625519,0.012441077551080244,0.012441077551080244,0.25643202662467957,TRUE
NOUN,NOUN,TRUE,2,7,4,8,0.5,0.16666666666666663,0.2276161164045334,0.027309928567103337,0.027309928567103337,0.06728778779506683,FALSE
NOUN,NOUN,TRUE,6,9,8,8,1.0,0.25,0.4259781539440155,0.019895094123319412,0.019895094123319412,0.04157091677188873,FALSE
NOUN,NOUN,TRUE,7,10,7,8,0.875,0.2666666666666667,0.3146404027938843,0,0,0.041027046740055084,FALSE
NOUN,NOUN,TRUE,8,10,6,8,0.75,0.4285714285714286,0.255327969789505,0,0,0.026601199060678482,FALSE
NOUN,NOUN,TRUE,9,10,7,8,0.875,0.4,0.06811396032571793,0,0,0.024378133937716484,FALSE
NOUN,NOUN,TRUE,5,9,5,8,0.625,0.3076923076923077,0.5021572709083557,0.008654813953485836,0.008654813953485836,0.02323056384921074,FALSE
NOUN,NOUN,TRUE,4,6,7,8,0.875,0.2666666666666667,0.10426376760005951,0.025199029496642145,0.025199029496642145,0.016541194170713425,FALSE
NOUN,NOUN,TRUE,8,10,7,8,0.875,0.2666666666666667,0.45372122526168823,0,0,0.01643453910946846,FALSE
NOUN,NOUN,TRUE,0,2,7,8,0.875,0.2666666666666667,0.2888418436050415,0.04332317913120621,0.04332317913120621,0.014662249013781548,TRUE
NOUN,NOUN,TRUE,9,9,10,8,1.25,0.33333333333333337,0.43409281969070435,0.0058619574829256085,0.0058619574829256085,0.011333652772009373,FALSE
NOUN,NOUN,TRUE,9,10,4,8,0.5,0.33333333333333337,0.01137995719909668,0,0,0.010479645803570747,FALSE
NOUN,NOUN,TRUE,9,10,4,8,0.5,0.5,0.1672825813293457,0,0,0.009760860353708267,FALSE
NOUN,NOUN,TRUE,5,9,6,8,0.75,0.2857142857142857,0.382228821516037,0.012747892426314099,0.012747892426314099,0.008421475999057293,TRUE
NOUN,NOUN,TRUE,3,9,3,8,0.375,0.18181818181818177,0.37961453199386597,0.014316510584338447,0.014316510584338447,0.007976441644132137,FALSE
VERB,VERB,TRUE,2,2,4,4,1.0,0.75,0.8301002979278564,0.026539122194710166,0.026539122194710166,0.9943071007728577,TRUE
VERB,ADV,FALSE,5,1,4,4,1.0,0.25,0.8876516819000244,0.02998491468727445,0.02998491468727445,0.0007961548399180174,FALSE
VERB,VERB,TRUE,2,2,4,4,1.0,0.75,0.8301002979278564,0.026539122194710166,0.026539122194710166,0.0007636412628926337,TRUE
VERB,VERB,TRUE,2,2,4,4,1.0,0.75,0.8301002979278564,0.026539122194710166,0.026539122194710166,0.00037295956281013787,TRUE
VERB,ADV,FALSE,8,9,6,4,1.5,0.19999999999999996,0.41953229904174805,0.00950843995766374,0.00950843995766374,0.00026292784605175257,FALSE
VERB,ADV,FALSE,8,10,7,4,1.75,0.36363636363636365,0.41522347927093506,0,0,0.000249518605414778,FALSE
VERB,VERB,TRUE,2,2,4,4,1.0,0.75,0.8301002979278564,0.026539122194710166,0.026539122194710166,0.0001806118816602975,TRUE
VERB,ADV,FALSE,8,8,9,4,2.25,0.15384615384615385,0.6260472536087036,0.018527647726691635,0.018527647726691635,0.00014708896924275905,FALSE
VERB,ADV,FALSE,8,6,5,4,1.25,0.4444444444444444,0.8198255300521851,0.018295362015551538,0.018295362015551538,0.00013760867295786738,FALSE
VERB,VERB,TRUE,6,4,6,4,1.5,0.4,0.6435003280639648,0.019428566016638497,0.019428566016638497,0.00012977560982108116,FALSE
VERB,VERB,TRUE,6,4,6,4,1.5,0.4,0.6435003280639648,0.019428566016638497,0.019428566016638497,0.00012022410373901948,FALSE
VERB,VERB,TRUE,6,4,6,4,1.5,0.4,0.6435003280639648,0.019428566016638497,0.019428566016638497,0.00011502132110763341,FALSE
VERB,ADJ,FALSE,3,4,9,4,2.25,0.3076923076923077,0.6607646942138672,0.018852639513908875,0.018852639513908875,0.00010228881001239643,FALSE
VERB,VERB,TRUE,2,4,4,4,1.0,0.25,0.6645873785018921,0.027232675275157398,0.027232675275157398,8.549125777790323e-05,TRUE
NOUN,ADJ,FALSE,7,9,5,4,1.25,0.2222222222222222,0.5525272488594055,0.012647236728360128,0.012647236728360128,0.5165945887565613,FALSE
NOUN,ADJ,FALSE,9,9,4,4,1.0,0.25,0.31892281770706177,0.0058619574829256085,0.0058619574829256085,0.040451548993587494,FALSE
NOUN,NOUN,TRUE,8,9,3,4,0.75,0.2857142857142857,0.4890153706073761,0.011432708202417043,0.011432708202417043,0.029930908232927322,TRUE
NOUN,ADJ,FALSE,5,6,6,4,1.5,0.19999999999999996,0.4163196086883545,0.010948575632325267,0.010948575632325267,0.028629155829548836,FALSE
NOUN,NOUN,TRUE,9,9,4,4,1.0,0.0,0.22397181391716003,0.007447104336440579,0.007447104336440579,0.02736642397940159,FALSE
NOUN,ADJ,FALSE,8,9,6,4,1.5,0.0,0.3701561987400055,0.023503470800692334,0.023503470800692334,0.02325807698071003,FALSE
NOUN,PROPN,FALSE,7,9,5,4,1.25,0.2222222222222222,0.5525272488594055,0.012647236728360128,0.012647236728360128,0.022807050496339798,FALSE
NOUN,NOUN,TRUE,9,9,5,4,1.25,0.2222222222222222,0.4899789094924927,0.01578542614990218,0.01578542614990218,0.012659459374845028,FALSE
NOUN,NUM,FALSE,8,5,5,4,1.25,0.2222222222222222,0.5290122032165527,0.012416698739996956,0.012416698739996956,0.011957021430134773,FALSE
NOUN,NOUN,TRUE,9,9,5,4,1.25,0.4444444444444444,0.16521573066711426,0.011751735400346167,0.011751735400346167,0.011713312938809395,FALSE
NOUN,NOUN,TRUE,9,9,5,4,1.25,0.2222222222222222,0.3933591842651367,0.016991608055453,0.016991608055453,0.008439341560006142,FALSE
NOUN,NOUN,TRUE,8,7,4,4,1.0,0.5,0.45402783155441284,0.017389080477018752,0.017389080477018752,0.00805947557091713,TRUE
NOUN,NOUN,TRUE,3,8,6,4,1.5,0.0,0.301543653011322,0.02343367940010586,0.02343367940010586,0.0070201801136136055,FALSE
NOUN,NOUN,TRUE,9,10,5,4,1.25,0.0,0.17075377702713013,0,0,0.006642606109380722,FALSE
