it,FALSE
this,FALSE
we,FALSE
you,FALSE
possess,FALSE
include,TRUE
provide,TRUE
gain,TRUE
acquire,TRUE
use,TRUE
retain,FALSE
get,TRUE
hold,TRUE
receive,TRUE
enjoy,TRUE
maintain,TRUE
ability,TRUE
option,FALSE
capability,TRUE
request,TRUE
application,TRUE
need,TRUE
requirement,TRUE
possibility,TRUE
system,TRUE
process,TRUE
method,TRUE
right,FALSE
algorithm,FALSE
program,TRUE
software,TRUE
create,TRUE
generate,TRUE
send,TRUE
handle,TRUE
run,TRUE
transmit,TRUE
support,TRUE
manage,TRUE
perform,TRUE
execute,TRUE
implement,TRUE
make,TRUE
#,FALSE
datum,TRUE
service,TRUE
file,TRUE
message,TRUE
information,TRUE
#,FALSE
message,TRUE
datum,TRUE
information,TRUE
content,FALSE
code,FALSE
text,FALSE
mail,FALSE
code,FALSE
word,FALSE
file,TRUE
call,TRUE
transmit,TRUE
send,TRUE
valid,FALSE
receive,TRUE
use,TRUE
available,FALSE
distribute,TRUE
read,TRUE
execute,TRUE
encode,FALSE
protect,TRUE
allow,TRUE
deliver,TRUE
accessible,FALSE
sign,TRUE
TRUE,FALSE
empty,FALSE
viewer,FALSE
user,TRUE
station,TRUE
listener,FALSE
broadcaster,TRUE
people,TRUE
voter,FALSE
subscriber,FALSE
student,TRUE
team,TRUE
customer,TRUE
player,FALSE
participant,FALSE
communicate,TRUE
work,TRUE
choose,TRUE
move,TRUE
travel,FALSE
search,FALSE
coordinate,FALSE
collaborate,FALSE
switch,TRUE
navigate,FALSE
alternate,FALSE
rotate,FALSE
mix,FALSE
cooperate,FALSE
operate,TRUE
broadcast,TRUE
direct,FALSE
online,FALSE
video,TRUE
print,FALSE
public,FALSE
visual,FALSE
technical,FALSE
electronic,FALSE
voice,FALSE
medium,FALSE
radio,FALSE
digital,FALSE
commercial,FALSE
international,FALSE
wireless,FALSE
share,TRUE
collaborative,FALSE
structure,FALSE
network,TRUE
free,FALSE
alternative,FALSE
secure,TRUE
parallel,FALSE
remote,FALSE
satellite,FALSE
open,FALSE
option,FALSE
strategy,FALSE
method,TRUE
goal,TRUE
service,TRUE
operation,TRUE
behind,FALSE
within,FALSE
follow,TRUE
game,TRUE
head,FALSE
draw,FALSE
movement,FALSE
action,TRUE
able,FALSE
require,TRUE
possible,FALSE
unable,FALSE
guarantee,FALSE
permit,TRUE
expect,FALSE
necessary,FALSE
need,TRUE
ready,FALSE
suppose,FALSE
access,TRUE
write,TRUE
install,FALSE
